id,item_key,concept_path,name_char,name,short_name,section,redundant
0,"\\i2b2_naaccr\i2b2\naaccr\S:2 Demographic\0160 Race 1\","\i2b2\naaccr\S:2 Demographic\0160 Race 1\","0160 Race 1 [81,609 facts; 75,806 patients]","0160 Race 1",race_1,naaccr,0
1,"\\i2b2_naaccr\i2b2\naaccr\S:2 Demographic\0161 Race 2\","\i2b2\naaccr\S:2 Demographic\0161 Race 2\","0161 Race 2 [81,609 facts; 75,806 patients]","0161 Race 2",race_2,naaccr,0
2,"\\i2b2_naaccr\i2b2\naaccr\S:2 Demographic\0162 Race 3\","\i2b2\naaccr\S:2 Demographic\0162 Race 3\","0162 Race 3 [81,609 facts; 75,806 patients]","0162 Race 3",race_3,naaccr,0
3,"\\i2b2_naaccr\i2b2\naaccr\S:2 Demographic\0163 Race 4\","\i2b2\naaccr\S:2 Demographic\0163 Race 4\","0163 Race 4 [81,609 facts; 75,806 patients]","0163 Race 4",race_4,naaccr,0
4,"\\i2b2_naaccr\i2b2\naaccr\S:2 Demographic\0164 Race 5\","\i2b2\naaccr\S:2 Demographic\0164 Race 5\","0164 Race 5 [81,609 facts; 75,806 patients]","0164 Race 5",race_5,naaccr,0
5,"\\i2b2_naaccr\i2b2\naaccr\S:2 Demographic\0170 Race Coding Sys--Current\","\i2b2\naaccr\S:2 Demographic\0170 Race Coding Sys--Current\","0170 Race Coding Sys--Current [81,609 facts; 75,806 patients]","0170 Race Coding Sys--Current",race_coding,naaccr,0
6,"\\i2b2_naaccr\i2b2\naaccr\S:2 Demographic\0180 Race Coding Sys--Original\","\i2b2\naaccr\S:2 Demographic\0180 Race Coding Sys--Original\","0180 Race Coding Sys--Original [81,609 facts; 75,806 patients]","0180 Race Coding Sys--Original",race_coding,naaccr,0
7,"\\i2b2_naaccr\i2b2\naaccr\S:2 Demographic\0190 Spanish/Hispanic Origin\","\i2b2\naaccr\S:2 Demographic\0190 Spanish/Hispanic Origin\","0190 Spanish/Hispanic Origin [81,609 facts; 75,806 patients]","0190 Spanish/Hispanic Origin",spanish_his,naaccr,0
8,"\\i2b2_naaccr\i2b2\naaccr\S:2 Demographic\0220 Sex\","\i2b2\naaccr\S:2 Demographic\0220 Sex\","0220 Sex [81,609 facts; 75,806 patients]","0220 Sex",sex,naaccr,0
9,"\\i2b2_Abridged\i2b2\Abridged\Demographics\0240 Date of Birth\","\i2b2\Abridged\Demographics\0240 Date of Birth\","0240 Date of Birth [81,660 facts; 75,845 patients]","0240 Date of Birth",date_of_bir,abridged,0
10,"\\i2b2_naaccr\i2b2\naaccr\S:1 Cancer Identification\0380 Sequence Number--Central\","\i2b2\naaccr\S:1 Cancer Identification\0380 Sequence Number--Central\","0380 Sequence Number--Central [81,609 facts; 75,806 patients]","0380 Sequence Number--Central",sequence_nu,naaccr,0
11,"\\i2b2_naaccr\i2b2\naaccr\S:1 Cancer Identification\0390 Date of Diagnosis\","\i2b2\naaccr\S:1 Cancer Identification\0390 Date of Diagnosis\","0390 Date of Diagnosis [81,609 facts; 75,806 patients]","0390 Date of Diagnosis",date_of_dia,naaccr,0
12,"\\i2b2_naaccr\i2b2\naaccr\S:1 Cancer Identification\0400 Primary Site\","\i2b2\naaccr\S:1 Cancer Identification\0400 Primary Site\","0400 Primary Site [81,609 facts; 75,806 patients]","0400 Primary Site",primary_sit,naaccr,1
13,"\\i2b2_naaccr\i2b2\naaccr\S:1 Cancer Identification\0400 Primary Site\","\i2b2\naaccr\S:1 Cancer Identification\0400 Primary Site\","0400 Primary Site [81,609 facts; 75,806 patients]","0400 Primary Site",primary_sit,naaccr,1
14,"\\i2b2_naaccr\i2b2\naaccr\S:1 Cancer Identification\0410 Laterality\","\i2b2\naaccr\S:1 Cancer Identification\0410 Laterality\","0410 Laterality [81,609 facts; 75,806 patients]","0410 Laterality",laterality,naaccr,0
15,"\\i2b2_naaccr\i2b2\naaccr\S:1 Cancer Identification\0440 Grade\","\i2b2\naaccr\S:1 Cancer Identification\0440 Grade\","0440 Grade [81,598 facts; 75,803 patients]","0440 Grade",grade,naaccr,0
